時間,用戶1,用戶2,用戶3,用戶4,用戶5,用戶6,用戶7,用戶8
2021-07-24 19:00:00,32.6,10.6,111.0,754.0,901.8,366.4,598.0,43.8
2021-07-24 20:00:00,32.2,10.6,107.8,752.4,898.4,364.4,591.4,42.4
2021-07-24 21:00:00,31.0,10.6,106.4,754.8,897.8,364.0,589.8,42.2
2021-07-24 22:00:00,30.8,10.6,96.0,753.0,897.6,364.2,588.6,41.6
2021-07-24 23:00:00,30.6,10.4,93.8,751.4,896.4,363.4,587.4,41.2
2021-07-25 00:00:00,32.6,10.6,87.2,751.4,895.2,362.6,586.0,40.8
2021-07-25 01:00:00,32.2,10.2,86.0,748.8,893.8,362.6,585.4,40.6
2021-07-25 02:00:00,32.4,10.4,86.6,744.8,892.8,361.6,584.6,40.4
2021-07-25 03:00:00,32.4,10.2,86.4,741.6,893.4,361.4,584.4,40.2
2021-07-25 04:00:00,32.2,10.2,86.6,739.4,893.8,361.2,584.4,40.2
2021-07-25 05:00:00,32.6,10.2,88.8,737.0,893.0,359.4,583.4,40.6
2021-07-25 06:00:00,32.4,10.0,90.8,737.4,895.0,358.6,583.2,41.8
2021-07-25 07:00:00,34.4,10.6,107.2,739.4,897.2,362.8,589.6,42.2
2021-07-25 08:00:00,37.8,11.0,117.0,745.2,898.2,365.2,595.6,45.4
2021-07-25 09:00:00,44.6,11.4,113.4,753.0,899.4,366.4,595.2,48.2
2021-07-25 10:00:00,45.8,11.8,115.8,757.6,900.8,367.8,596.6,48.8
2021-07-25 11:00:00,45.4,11.8,122.2,758.2,901.2,369.4,599.2,48.2
2021-07-25 12:00:00,46.4,12.0,125.4,757.0,901.2,368.4,603.8,48.0
2021-07-25 13:00:00,45.4,12.0,121.2,756.4,902.4,368.6,601.6,47.8
2021-07-25 14:00:00,46.4,12.0,129.0,763.8,902.4,367.6,601.6,48.2
2021-07-25 15:00:00,45.8,12.0,120.8,764.8,903.8,368.2,602.0,48.0
2021-07-25 16:00:00,44.8,11.8,118.8,764.0,904.6,368.6,600.4,46.6
2021-07-25 17:00:00,41.4,11.2,126.4,762.6,904.0,367.8,601.6,45.4
2021-07-25 18:00:00,37.0,10.8,115.6,758.0,902.4,366.8,600.8,44.6
2021-07-25 19:00:00,35.8,10.6,111.0,754.0,901.8,366.4,598.0,43.8
2021-07-25 20:00:00,34.4,10.6,107.8,752.4,898.4,364.4,591.4,42.4
2021-07-25 21:00:00,33.4,10.6,106.4,754.8,897.8,364.0,589.8,42.2
2021-07-25 22:00:00,33.4,10.6,96.0,753.0,897.6,364.2,588.6,41.6
2021-07-25 23:00:00,33.0,10.4,93.8,751.4,896.4,363.4,587.4,41.2
2021-07-26 00:00:00,34.4,12.0,101.0,751.4,915.6,362.6,596.4,44.4
2021-07-26 01:00:00,34.4,11.8,99.8,748.8,914.8,362.6,596.0,44.2
2021-07-26 02:00:00,34.2,12.0,100.4,744.8,914.6,361.6,595.6,44.0
2021-07-26 03:00:00,34.0,11.6,99.8,741.6,915.8,361.4,594.6,44.2
2021-07-26 04:00:00,34.4,11.8,100.0,739.4,915.4,361.2,593.2,44.6
2021-07-26 05:00:00,35.2,12.2,108.4,737.0,915.4,359.4,592.6,52.8
2021-07-26 06:00:00,47.6,16.4,154.0,737.4,916.8,358.6,592.0,156.4
2021-07-26 07:00:00,105.2,113.2,310.4,739.4,918.6,362.8,598.8,251.6
2021-07-26 08:00:00,152.4,151.6,381.0,745.2,920.0,365.2,608.6,286.8
2021-07-26 09:00:00,170.4,177.4,376.2,753.0,920.6,366.4,610.2,287.8
2021-07-26 10:00:00,179.0,177.6,371.8,757.6,922.2,367.8,612.4,283.8
2021-07-26 11:00:00,183.4,182.2,375.8,758.2,924.0,369.4,615.0,281.2
2021-07-26 12:00:00,168.6,178.6,371.6,757.0,923.4,368.4,618.2,272.8
2021-07-26 13:00:00,172.8,185.2,379.6,756.4,924.8,368.6,616.2,272.6
2021-07-26 14:00:00,172.8,188.4,373.4,763.8,924.6,367.6,616.2,268.0
2021-07-26 15:00:00,172.6,181.4,369.6,764.8,926.8,368.2,615.4,265.2
